"","Item_Identifier","Outlet_Identifier","Iten_Outlet_Sales"
"1","FDW58","OUT049",1693.7952
"2","FDW14","OUT017",1700.7861
"3","NCN55","OUT010",2200.13693860305
"4","FDQ58","OUT017",1301.639
"5","FDY38","OUT027",2200.13693860305
"6","FDH56","OUT046",1911.5118
"7","FDL48","OUT018",2200.13693860305
"8","FDC48","OUT027",2200.13693860305
"9","FDN33","OUT045",1008.46506666667
"10","FDA36","OUT017",2128.5626
"11","FDT44","OUT017",1590.9291
"12","FDQ56","OUT045",1719.7614
"13","NCC54","OUT019",723.0588
"14","FDU11","OUT049",1506.3725
"15","DRL59","OUT013",1240.3854
"16","FDM24","OUT049",2304.83315
"17","FDI57","OUT045",3941.536
"18","DRC12","OUT018",2200.13693860305
"19","NCM42","OUT027",2200.13693860305
"20","FDA46","OUT010",2200.13693860305
"21","FDA31","OUT013",2365.80933333333
"22","NCJ31","OUT035",3434.5293
"23","FDG52","OUT046",627.8494
"24","NCL19","OUT019",2200.13693860305
"25","FDS10","OUT035",2435.8293
"26","FDX22","OUT010",210.3928
"27","NCF19","OUT035",631.8442
"28","NCE06","OUT046",1294.3152
"29","DRC27","OUT046",3746.62305
"30","FDE21","OUT035",1506.0396
"31","NCR42","OUT019",33.29
"32","FDX51","OUT018",2200.13693860305
"33","NCR06","OUT018",2200.13693860305
"34","FDU31","OUT027",2200.13693860305
"35","FDU59","OUT017",2490.97973333333
"36","FDR03","OUT027",2200.13693860305
"37","FDS49","OUT027",2200.13693860305
"38","FDD48","OUT010",2200.13693860305
"39","NCF18","OUT017",3068.0064
"40","NCD43","OUT027",2200.13693860305
"41","NCD54","OUT018",2200.13693860305
"42","FDY19","OUT010",2200.13693860305
"43","NCY54","OUT017",2759.0752
"44","NCL19","OUT018",2200.13693860305
"45","FDP23","OUT010",2200.13693860305
"46","FDC26","OUT013",1519.57753333333
"47","FDR14","OUT010",107.8596
"48","NCS41","OUT035",2388.8904
"49","FDF41","OUT035",2894.5655
"50","FDU34","OUT046",2241.0828
"51","DRH11","OUT046",386.8298
"52","FDM03","OUT013",1893.75713333333
"53","FDS31","OUT017",3112.44855
"54","FDJ20","OUT017",1527.3452
"55","FDV44","OUT027",2200.13693860305
"56","FDG02","OUT049",2094.6068
"57","FDA09","OUT013",2292.0165
"58","FDT04","OUT013",536.856733333333
"59","FDL58","OUT019",790.9704
"60","FDE52","OUT045",2200.13693860305
"61","FDW12","OUT035",1944.93496
"62","FDL51","OUT017",3130.05896
"63","NCY42","OUT027",2200.13693860305
"64","FDR07","OUT017",2200.13693860305
"65","FDN40","OUT045",2499.24675
"66","FDB35","OUT027",2200.13693860305
"67","FDA22","OUT017",3676.5476
"68","NCL06","OUT046",4055.7207
"69","FDI35","OUT013",4059.3826
"70","NCW42","OUT045",4420.912
"71","NCX06","OUT049",3621.952
"72","FDC37","OUT027",2200.13693860305
"73","FDZ14","OUT018",2200.13693860305
"74","DRG49","OUT049",6230.8893
"75","NCG06","OUT045",3349.6398
"76","DRC36","OUT045",2320.14655
"77","FDV21","OUT019",375.5112
"78","FDB53","OUT046",3094.6384
"79","DRP47","OUT019",2200.13693860305
"80","FDA14","OUT013",1684.474
"81","DRC24","OUT035",3383.5956
"82","FDW21","OUT018",2200.13693860305
"83","NCH29","OUT046",1884.04755
"84","FDU58","OUT013",2806.347
"85","FDY27","OUT017",2141.2128
"86","FDV56","OUT035",755.0172
"87","FDT59","OUT046",4204.1941
"88","FDB23","OUT046",5116.0072
"89","FDR49","OUT045",719.064
"90","FDB03","OUT010",2200.13693860305
"91","FDN39","OUT045",2306.997
"92","FDX02","OUT027",2200.13693860305
"93","FDQ16","OUT027",2200.13693860305
"94","FDU35","OUT018",2200.13693860305
"95","NCT29","OUT013",852.8898
"96","FDZ27","OUT046",586.73625
"97","FDN57","OUT017",3119.9388
"98","FDA03","OUT018",2200.13693860305
"99","FDZ36","OUT045",3914.904
"100","NCU05","OUT013",1611.236
"101","FDT39","OUT018",2200.13693860305
"102","FDK60","OUT017",1620.11333333333
"103","FDZ25","OUT017",3225.801
"104","FDG12","OUT046",2410.196
"105","DRB01","OUT019",2200.13693860305
"106","NCC43","OUT027",2200.13693860305
"107","FDX13","OUT019",2200.13693860305
"108","FDM22","OUT049",1225.072
"109","FDJ03","OUT027",2200.13693860305
"110","FDU14","OUT018",2200.13693860305
"111","FDB33","OUT010",477.3786
"112","FDP27","OUT046",3921.562
"113","FDO38","OUT010",2200.13693860305
"114","FDE28","OUT027",2200.13693860305
"115","FDO27","OUT035",1150.5024
"116","DRL23","OUT027",2200.13693860305
"117","FDS28","OUT046",480.97392
"118","FDX24","OUT013",1604.13413333333
"119","FDZ02","OUT035",587.2356
"120","FDL46","OUT045",1561.46745
"121","FDS60","OUT027",2200.13693860305
"122","NCO06","OUT017",373.5138
"123","FDO16","OUT035",1886.43333333333
"124","FDC60","OUT049",2125.2336
"125","FDA48","OUT018",2200.13693860305
"126","FDZ36","OUT027",2200.13693860305
"127","FDK27","OUT045",1898.41773333333
