"","Item_Identifier","Outlet_Identifier","Item_Outlet_Sales"
"1","FDW58","OUT049",4379.39238565124
"2","FDW14","OUT017",859.063072818802
"3","NCN55","OUT010",1970.27238177873
"4","FDQ58","OUT017",504.324764566165
"5","FDY38","OUT027",922.131236176278
"6","FDH56","OUT046",799.38904895704
"7","FDL48","OUT018",831.28891090788
"8","FDC48","OUT027",2768.14311542912
"9","FDN33","OUT045",1356.00476952427
"10","FDA36","OUT017",3047.1233961507
"11","FDT44","OUT017",826.876274796474
"12","FDQ56","OUT045",2230.27334773334
"13","NCC54","OUT019",2372.23169625458
"14","FDU11","OUT049",2226.86303075134
"15","DRL59","OUT013",3154.17171820484
"16","FDM24","OUT049",1152.44882419469
"17","FDI57","OUT045",1698.25643067558
"18","DRC12","OUT018",1190.15706515437
"19","NCM42","OUT027",2733.55724728648
"20","FDA46","OUT010",3691.08401474757
"21","FDA31","OUT013",3865.87940468364
"22","NCJ31","OUT035",3889.96859293513
"23","FDG52","OUT046",3303.53006237041
"24","NCL19","OUT019",-72.3481993532684
"25","FDS10","OUT035",2912.52932414985
"26","FDX22","OUT010",777.424389377524
"27","NCF19","OUT035",1113.87192961304
"28","NCE06","OUT046",1052.45116083235
"29","DRC27","OUT046",6.75667962323328
"30","FDE21","OUT035",73.0631384115126
"31","NCR42","OUT019",-20.3083205314118
"32","FDX51","OUT018",1570.8082275816
"33","NCR06","OUT018",3360.27297454372
"34","FDU31","OUT027",1702.38134684298
"35","FDU59","OUT017",2698.48337509231
"36","FDR03","OUT027",2171.79058773118
"37","FDS49","OUT027",3279.65120167953
"38","FDD48","OUT010",1712.95177494902
"39","NCF18","OUT017",1645.67535263449
"40","NCD43","OUT027",2121.94684426899
"41","NCD54","OUT018",3447.45532942282
"42","FDY19","OUT010",1950.08264037089
"43","NCY54","OUT017",3220.12436785995
"44","NCL19","OUT018",3949.75072606798
"45","FDP23","OUT010",2228.48790384663
"46","FDC26","OUT013",619.431771243763
"47","FDR14","OUT010",2591.68411475685
"48","NCS41","OUT035",4402.89375898931
"49","FDF41","OUT035",1176.20138609256
"50","FDU34","OUT046",616.47119898013
"51","DRH11","OUT046",2268.27754434415
"52","FDM03","OUT013",1986.77620928346
"53","FDS31","OUT017",1731.09234274346
"54","FDJ20","OUT017",3176.8552172975
"55","FDV44","OUT027",2582.45485413878
